idx,emoji,category,codepoints
650,🛻,Travel & Places,1F6FB
651,🚚,Travel & Places,1F69A
652,🚛,Travel & Places,1F69B
653,🚜,Travel & Places,1F69C
656,🛵,Travel & Places,1F6F5
657,🦽,Travel & Places,1F9BD
658,🦼,Travel & Places,1F9BC
659,🛺,Travel & Places,1F6FA
660,🚲,Travel & Places,1F6B2
661,🛴,Travel & Places,1F6F4
662,🛹,Travel & Places,1F6F9
663,🛼,Travel & Places,1F6FC
664,🚂,Travel & Places,1F682
665,🚃,Travel & Places,1F683
666,🚄,Travel & Places,1F684
667,🚅,Travel & Places,1F685
668,🚆,Travel & Places,1F686
669,🚇,Travel & Places,1F687
670,🚈,Travel & Places,1F688
671,🚉,Travel & Places,1F689
672,🚊,Travel & Places,1F68A
673,🚝,Travel & Places,1F69D
674,🚞,Travel & Places,1F69E
675,🚋,Travel & Places,1F68B
676,🚌,Travel & Places,1F68C
677,🚍,Travel & Places,1F68D
681,🚢,Travel & Places,1F6A2
684,🛫,Travel & Places,1F6EB
685,🛬,Travel & Places,1F6EC
686,🪂,Travel & Places,1FA82
687,💺,Travel & Places,1F4BA
688,🚁,Travel & Places,1F681
689,🚟,Travel & Places,1F69F
690,🚠,Travel & Places,1F6A0
691,🚡,Travel & Places,1F6A1
693,🚀,Travel & Places,1F680
694,🛸,Travel & Places,1F6F8
695,🚨,Travel & Places,1F6A8
696,🛑,Travel & Places,1F6D1
697,🚧,Travel & Places,1F6A7
698,⚓,Travel & Places,2693
699,⛵,Travel & Places,26F5
700,🛶,Travel & Places,1F6F6
701,🚤,Travel & Places,1F6A4
702,👋,People & Body,1F44B
703,🤚,People & Body,1F91A
705,✋,People & Body,270B
706,🖖,People & Body,1F596
707,👌,People & Body,1F44C
708,🤌,People & Body,1F90C
709,🤏,People & Body,1F90F
711,🤞,People & Body,1F91E
712,🤟,People & Body,1F91F
713,🤘,People & Body,1F918
714,🤙,People & Body,1F919
715,👈,People & Body,1F448
716,👉,People & Body,1F449
717,👆,People & Body,1F446
718,🖕,People & Body,1F595
719,👇,People & Body,1F447
721,👍,People & Body,1F44D
722,👎,People & Body,1F44E
723,✊,People & Body,270A
724,👊,People & Body,1F44A
725,🤛,People & Body,1F91B
726,🤜,People & Body,1F91C
727,👏,People & Body,1F44F
728,🙌,People & Body,1F64C
729,👐,People & Body,1F450
730,🤲,People & Body,1F932
731,🤝,People & Body,1F91D
732,🙏,People & Body,1F64F
734,💅,People & Body,1F485
735,🤳,People & Body,1F933
736,💪,People & Body,1F4AA
737,🦾,People & Body,1F9BE
738,🦿,People & Body,1F9BF
739,🦵,People & Body,1F9B5
740,🦶,People & Body,1F9B6
741,👂,People & Body,1F442
742,🦻,People & Body,1F9BB
743,👃,People & Body,1F443
744,👀,People & Body,1F440
746,👅,People & Body,1F445
747,🫦,People & Body,1FAE6
748,🫰,People & Body,1FAF0
749,🫱,People & Body,1FAF1
750,🫲,People & Body,1FAF2
751,🫳,People & Body,1FAF3
752,🫴,People & Body,1FAF4
753,🫵,People & Body,1FAF5
754,🫶,People & Body,1FAF6
757,🙋,People & Body,1F64B
758,🙋‍♂️,People & Body,1F64B 200D 2642 FE0F
759,🙋‍♀️,People & Body,1F64B 200D 2640 FE0F
760,🙆,People & Body,1F646
761,🙆‍♂️,People & Body,1F646 200D 2642 FE0F
762,🙆‍♀️,People & Body,1F646 200D 2640 FE0F
763,🙅,People & Body,1F645
764,🙅‍♂️,People & Body,1F645 200D 2642 FE0F
765,🙅‍♀️,People & Body,1F645 200D 2640 FE0F
766,🤷,People & Body,1F937
767,🤷‍♂️,People & Body,1F937 200D 2642 FE0F
768,🤷‍♀️,People & Body,1F937 200D 2640 FE0F
769,🙇,People & Body,1F647
770,🙇‍♂️,People & Body,1F647 200D 2642 FE0F
771,🙇‍♀️,People & Body,1F647 200D 2640 FE0F
772,🤦,People & Body,1F926
773,🤦‍♂️,People & Body,1F926 200D 2642 FE0F
774,🤦‍♀️,People & Body,1F926 200D 2640 FE0F
776,🏆,Activities,1F3C6
777,🏅,Activities,1F3C5
778,🥇,Activities,1F947
779,🥈,Activities,1F948
780,🥉,Activities,1F949
781,⚽,Activities,26BD
782,⚾,Activities,26BE
783,🥎,Activities,1F94E
784,🏀,Activities,1F3C0
785,🏐,Activities,1F3D0
786,🏈,Activities,1F3C8
787,🏉,Activities,1F3C9
788,🎾,Activities,1F3BE
789,🥏,Activities,1F94F
790,🎳,Activities,1F3B3
791,🏏,Activities,1F3CF
792,🏑,Activities,1F3D1
793,🏒,Activities,1F3D2
794,🥍,Activities,1F94D
795,🏓,Activities,1F3D3
796,🏸,Activities,1F3F8
797,🥊,Activities,1F94A
798,🥋,Activities,1F94B
799,🥅,Activities,1F945
800,⛳,Activities,26F3
802,🎣,Activities,1F3A3
803,🤿,Activities,1F93F
804,🎽,Activities,1F3BD
805,🎿,Activities,1F3BF
806,🛷,Activities,1F6F7
807,🥌,Activities,1F94C
808,🎯,Activities,1F3AF
809,🪀,Activities,1FA80
810,🪁,Activities,1FA81
811,🎱,Activities,1F3B1
812,🎮,Activities,1F3AE
813,🎰,Activities,1F3B0
814,🎲,Activities,1F3B2
815,🧩,Activities,1F9E9
816,🪅,Activities,1FA85
817,🪆,Activities,1FA86
823,🃏,Activities,1F0CF
824,🀄,Activities,1F004
825,🎴,Activities,1F3B4
826,🎭,Activities,1F3AD
827,🎨,Activities,1F3A8
828,🧵,Activities,1F9F5
829,🪡,Activities,1FAA1
830,🧶,Activities,1F9F6
831,🪢,Activities,1FAA2
832,👨‍⚕️,People & Body,1F468 200D 2695 FE0F
833,👩‍⚕️,People & Body,1F469 200D 2695 FE0F
834,👨‍🎓,People & Body,1F468 200D 1F393
835,👩‍🎓,People & Body,1F469 200D 1F393
836,👨‍🏫,People & Body,1F468 200D 1F3EB
837,👩‍🏫,People & Body,1F469 200D 1F3EB
838,👨‍⚖️,People & Body,1F468 200D 2696 FE0F
839,👩‍⚖️,People & Body,1F469 200D 2696 FE0F
840,👨‍🌾,People & Body,1F468 200D 1F33E
841,👩‍🌾,People & Body,1F469 200D 1F33E
842,👨‍🍳,People & Body,1F468 200D 1F373
843,👩‍🍳,People & Body,1F469 200D 1F373
844,👨‍🔧,People & Body,1F468 200D 1F527
845,👩‍🔧,People & Body,1F469 200D 1F527
846,👨‍🏭,People & Body,1F468 200D 1F3ED
847,👩‍🏭,People & Body,1F469 200D 1F3ED
848,👨‍💼,People & Body,1F468 200D 1F4BC
849,👩‍💼,People & Body,1F469 200D 1F4BC
850,👨‍🔬,People & Body,1F468 200D 1F52C
851,👩‍🔬,People & Body,1F469 200D 1F52C
852,👨‍💻,People & Body,1F468 200D 1F4BB
853,👩‍💻,People & Body,1F469 200D 1F4BB
854,👨‍🎤,People & Body,1F468 200D 1F3A4
855,👩‍🎤,People & Body,1F469 200D 1F3A4
856,👨‍🎨,People & Body,1F468 200D 1F3A8
857,👩‍🎨,People & Body,1F469 200D 1F3A8
858,👨‍✈️,People & Body,1F468 200D 2708 FE0F
859,👩‍✈️,People & Body,1F469 200D 2708 FE0F
860,👨‍🚀,People & Body,1F468 200D 1F680
861,👩‍🚀,People & Body,1F469 200D 1F680
862,👨‍🚒,People & Body,1F468 200D 1F692
863,👩‍🚒,People & Body,1F469 200D 1F692
864,👮,People & Body,1F46E
866,💂,People & Body,1F482
867,🥷,People & Body,1F977
868,👷,People & Body,1F477
869,🤴,People & Body,1F934
870,👸,People & Body,1F478
871,👳,People & Body,1F473
872,👲,People & Body,1F472
873,🧕,People & Body,1F9D5
874,🤵,People & Body,1F935
875,👰,People & Body,1F470
876,🤰,People & Body,1F930
877,🤱,People & Body,1F931
878,👼,People & Body,1F47C
879,🎅,People & Body,1F385
